id,link,modelo,version,precio,ciudad,km,año,ESTADO,UBICACIÓN,PLACA,TIPO DE CAJA,COMBUSTIBLE,CILINDRAJE,COLOR,AIRBAGS,PUERTAS,DIRECCIÓN,
0504b076-d95c-44c3-9b37-5aa04018a5e0,https://www.carroya.com/detalle/usado/mazda/cx-30/2023/bogota/0504b076-d95c-44c3-9b37-5aa04018a5e0,Mazda CX-30,Grand Touring LX 2.5 Suv Automatico 4x4,$133.000.000,Bogota,9.600 km,2023,usado,Bogota,**7 Bogota,Automática,Gasolina,2.500,Blanco,,null,,
16c3ab04-59cd-40cc-8b8a-389a8c316520,https://www.carroya.com/detalle/usado/mazda/cx-30/2021/armenia/16c3ab04-59cd-40cc-8b8a-389a8c316520,Mazda CX-30,Touring 2.0 Suv Manual 4x2,$89.900.000,Armenia,59.000 km,2021,usado,Armenia,**9 Armenia,Mecánica,Gasolina,2.000,Gris,,null,,
62ac3581-192a-41fc-b9d6-604cd13d1af6,https://www.carroya.com/detalle/usado/mazda/cx-5/2020/bogota/62ac3581-192a-41fc-b9d6-604cd13d1af6,Mazda CX-5,Touring 2.0 Suv Automatico 4x2,$121.700.000,Bogota,18.500 km,2020,usado,Bogota,**9 Bogota,Automática,Gasolina,2.500,Rojo,,5,,
2a4a7589-40f9-4593-a4b6-c3f01fcc3ca3,https://www.carroya.com/detalle/usado/mazda/cx-5/2018/bogota/2a4a7589-40f9-4593-a4b6-c3f01fcc3ca3,Mazda CX-5,Touring 2.0 Suv Automatico 4x2,$110.000.000,Bogota,46.000 km,2018,usado,Bogota,**7 Bogota,Secuencial,Gasolina,2.000,Gris,,5,,
e0ffa938-842c-4983-a2ff-170d98cc43c7,https://www.carroya.com/detalle/usado/mazda/cx-5/2020/cucuta/e0ffa938-842c-4983-a2ff-170d98cc43c7,Mazda CX-5,Grand Touring 2.5 Suv Automatica 4x2,$120.000.000,Cucuta,59.000 km,2020,usado,Cucuta,**5 Cucuta,Automática,Gasolina,0,Gris,,5,,
b8a1f238-92bf-46c7-8c89-6625bbaface0,https://www.carroya.com/detalle/usado/mazda/cx-5/2020/cartagena/b8a1f238-92bf-46c7-8c89-6625bbaface0,Mazda CX-5,Grand Touring 2.5 Suv Automatica 4x2,$119.900.000,Cartagena,48.000 km,2020,usado,Cartagena,**8 Cartagena,Automática,Gasolina,2.500,Rojo,,5,,
4dc631d8-bf98-4227-b832-796c48daa4a9,https://www.carroya.com/detalle/usado/mazda/3/2021/medellin/4dc631d8-bf98-4227-b832-796c48daa4a9,Mazda 3,Grand Touring 2.5 Sedan Automatico,$105.400.000,Medellin,39.800 km,2021,usado,Medellin,**5 Sabaneta,Automática,Gasolina,2.500,Rojo,,4,,
76d4c095-0810-4824-bba9-629808553025,https://www.carroya.com/detalle/usado/mazda/3/2019/bogota/76d4c095-0810-4824-bba9-629808553025,Mazda 3,2.0 Sport Touring Automatico,$77.000.000,Bogota,59.000 km,2019,usado,Bogota,**2 Bogota,Automática,Gasolina,2.000,Rojo,,5,,
fea6a73c-d13e-439b-9e8a-6d9de27a9fd3,https://www.carroya.com/detalle/usado/mazda/3/2022/bogota/fea6a73c-d13e-439b-9e8a-6d9de27a9fd3,Mazda 3,2.0 Sedan Prime,$89.000.000,Bogota,10.800 km,2022,usado,Bogota,**4 Bogota,Mecánica,Gasolina,20,Rojo,,4,,
121cb02e-ba34-4876-a6db-f372909660f1,https://www.carroya.com/detalle/usado/mazda/cx-7/2011/mosquera/121cb02e-ba34-4876-a6db-f372909660f1,Mazda CX-7,2.5 Automatico,$42.000.000,Mosquera,112.000 km,2011,usado,Mosquera,**5 Bogota,Automática,Gasolina,2.500,Gris,,,,
