id,link,modelo,version,precio,ciudad,km,año,ESTADO,UBICACIÓN,PLACA,TIPO DE CAJA,COMBUSTIBLE,CILINDRAJE,COLOR,PUERTAS,AIRBAGS,DIRECCIÓN
2281409,https://www.carroya.com/detalle/usado/nissan/kicks/2019/bogota/2281409,Nissan Kicks,Exclusive Aut,$80.800.000,Bogota,39.600 km,2019,usado,Bogota,**6 Bogota,Secuencial,Gasolina,1.600,Gris,,Airbags,
2280844,https://www.carroya.com/detalle/usado/renault/logan/2009/bogota/2280844,Renault Logan,1.4 Familier Aire Acondicionado,$21.900.000,Bogota,148.000 km,2009,usado,Bogota,**0 Bogota,Mecánica,Gasolina,1.400,Plateado,,,Asistencia Hidráulica
2282590,https://www.carroya.com/detalle/usado/nissan/tiida/2012/bogota/2282590,Nissan Tiida,1.8 Premium Sedan Automatico Full Equipo,$29.500.000,Bogota,103.000 km,2012,usado,Bogota,**8 Bogota,Automática,Gasolina,1.800,Negro,,Airbags,
2279254,https://www.carroya.com/detalle/usado/renault/fluence/2012/bogota/2279254,Renault Fluence,1.6,$30.990.000,Bogota,134.000 km,2012,usado,Bogota,**9 Girardot,Mecánica,Gasolina,1.600,Blanco,,Airbags,
f2fd7eb8-85a7-42b7-b170-ce80096da8df,https://www.carroya.com/detalle/usado/mercedes-benz/clase-e/2013/bogota/f2fd7eb8-85a7-42b7-b170-ce80096da8df,Mercedes Benz Clase E,200,$64.500.000,Bogota,86.000 km,2013,usado,Bogota,**6 Bogota,Automática,Gasolina,1.800,Plateado,,,
af99e7ea-c33c-4c1f-8169-22087bba1182,https://www.carroya.com/detalle/usado/ford/fiesta/2019/garzon/af99e7ea-c33c-4c1f-8169-22087bba1182,Ford Fiesta,1.6 Powershift Titanium Sporback Automatico,$47.000.000,Garzon,72.000 km,2019,usado,Garzon,**3 Bogota,Automática,Gasolina,1.600,Gris,,,
512174d6-a701-4a52-bb57-a9478aafbb8e,https://www.carroya.com/detalle/usado/toyota/corolla/2022/medellin/512174d6-a701-4a52-bb57-a9478aafbb8e,Toyota Corolla,GR-S 2.0 Deportivo Manual Gasolina,$80.500.000,Medellin,38.000 km,2022,usado,Medellin,**1 Medellin,Mecánica,Gasolina,2.000,Blanco,5,,
2282293,https://www.carroya.com/detalle/usado/nissan/sentra/2016/bogota/2282293,Nissan Sentra,1.8 Advance CVT Full Equipo,$56.000.000,Bogota,42.070 km,2016,usado,Bogota,**8 Bogota,Secuencial,Gasolina,1.800,Rojo,,Airbags,
2281837,https://www.carroya.com/detalle/usado/fiat/uno/2021/bogota/2281837,Fiat Uno,Attractive 1.4 5 Puertas,$39.000.000,Bogota,52.825 km,2021,usado,Bogota,**8 Madrid,Mecánica,Gasolina,1.400,Negro,,Airbags,
2281895,https://www.carroya.com/detalle/usado/jetour/x70/2023/bogota/2281895,JETOUR X70,Deluxe 1.5 SUV Mecánico Gasolina,$89.900.000,Bogota,8.700 km,2023,usado,Bogota,**3 Envigado,Mecánica,Gasolina,1.500,Azul,,Airbags,
2282424,https://www.carroya.com/detalle/usado/renault/duster-oroch/2020/bogota/2282424,Renault Duster Oroch,,$70.000.000,Bogota,72.000 km,2020,usado,Bogota,**1 Girardot,Mecánica,Gasolina,2.000,Gris,,Airbags,
2281829,https://www.carroya.com/detalle/usado/chevrolet/onix/2021/bogota/2281829,Chevrolet Onix,1.0 Turbo LT Sedan Automatico,$59.000.000,Bogota,39.000 km,2021,usado,Bogota,**3 Bogota,Secuencial,Gasolina,1.000,Plateado,,Airbags,
b4741e12-4664-4aa8-88cb-2c21a2f871a5,https://www.carroya.com/detalle/usado/ford/fiesta/2011/bogota/b4741e12-4664-4aa8-88cb-2c21a2f871a5,Ford Fiesta,,$28.000.000,Bogota,95.600 km,2011,usado,Bogota,**6 Bogota,Automática,Gasolina,1.600,Negro,,,
404fde21-52d1-4a9d-8df3-989aa80b5c7f,https://www.carroya.com/detalle/usado/toyota/rav-4/2019/bogota/404fde21-52d1-4a9d-8df3-989aa80b5c7f,Toyota Rav 4,,,Bogota,52.800 km,2019,usado,Bogota,**5 Bogota,Automática,Gasolina,2.500,Blanco,,,
c9a49562-f751-4d67-9ce9-99f3d7fe6b08,https://www.carroya.com/detalle/usado/mazda/cx-30/2022/cali/c9a49562-f751-4d67-9ce9-99f3d7fe6b08,Mazda CX-30,Touring 2.0 Suv Manual 4x2,$98.000.000,Cali,36.000 km,2022,usado,Cali,**9 Cali,Mecánica,Gasolina,2.000,Gris,null,,
