id,link,modelo,version,precio,ciudad,km,año,ESTADO,UBICACIÓN,PLACA,TIPO DE CAJA,COMBUSTIBLE,CILINDRAJE,COLOR,PUERTAS,AIRBAGS,DIRECCIÓN,
e8865a33-72b6-485e-8730-7fa5f89fad1b,https://www.carroya.com/detalle/usado/renault/duster/2016/cali/e8865a33-72b6-485e-8730-7fa5f89fad1b,Renault Duster,Expression 1.6 4x2 Mecanica,$42.000.000,Cali,75.000 km,2016,usado,Cali,**2 Cali,Mecánica,Gasolina,1.600,Gris,,,,
45d2cb3c-caf2-477d-b297-a0519311d0e9,https://www.carroya.com/detalle/usado/renault/duster/2016/jamundi/45d2cb3c-caf2-477d-b297-a0519311d0e9,Renault Duster,Expression 1.6 4x2 Mecanica,$42.000.000,Jamundi,70.000 km,2016,usado,Jamundi,**2 Jamundi,Mecánica,Gasolina,1.600,Gris,,,,
221e0e10-be61-4ed5-a7f7-057a9199e9cc,https://www.carroya.com/detalle/usado/seat/ibiza/2012/jamundi/221e0e10-be61-4ed5-a7f7-057a9199e9cc,SEAT Ibiza,1.6 SPORT,$35.000.000,Jamundi,96.600 km,2012,usado,Jamundi,**7 Bogota,Mecánica,Gasolina,1.600,Blanco,,,,
75b6e977-2655-4e0c-8c0f-c5004d0498fc,https://www.carroya.com/detalle/usado/renault/duster-oroch/2024/bello/75b6e977-2655-4e0c-8c0f-c5004d0498fc,Renault Duster Oroch,,$99.000.000,Bello,4.129 km,2024,usado,Bello,**9 Sabaneta,Mecánica,Gasolina,1.330,Blanco,,,,
86de61ad-f1d0-4920-961b-9f1372d80ea0,https://www.carroya.com/detalle/usado/renault/duster/2016/bogota/86de61ad-f1d0-4920-961b-9f1372d80ea0,Renault Duster,Dakar,$50.000.000,Bogota,58.500 km,2016,usado,Bogota,**1 Bogota,Mecánica,Gasolina,1.600,Rojo,null,,,
7932173d-7d26-498e-bf07-76fe36de93ae,https://www.carroya.com/detalle/usado/chevrolet/captiva/2010/cali/7932173d-7d26-498e-bf07-76fe36de93ae,Chevrolet Captiva,3.6 Sport Automatica,$30.000.000,Cali,133.318 km,2010,usado,Cali,**8 Cali,Automática,Gasolina,3.600,Blanco,,,,
36dc6938-2c9b-4dbd-887e-fc61a7de7ce8,https://www.carroya.com/detalle/usado/hyundai/hb20s/2021/sincelejo/36dc6938-2c9b-4dbd-887e-fc61a7de7ce8,Hyundai HB20s,Advance Aut,$54.900.000,Sincelejo,55.000 km,2021,usado,Sincelejo,**8 Funza,Automática,Gasolina,1.400,Gris,,,,
2280020,https://www.carroya.com/detalle/usado/chevrolet/captiva/2020/bogota/2280020,Chevrolet Captiva,Premier Aut,$89.600.000,Bogota,35.413 km,2020,usado,Bogota,**2 Bogota,Automática,Gasolina,1.500,Blanco,,,Asistencia Hidráulica,
321ea59a-4e6c-4bf1-b5a4-4969e081c5be,https://www.carroya.com/detalle/usado/mazda/6/2019/bogota/321ea59a-4e6c-4bf1-b5a4-4969e081c5be,Mazda 6,2.5 Turbo Signature,$97.000.000,Bogota,44.000 km,2019,usado,Bogota,**2 Bogota,Automática,Gasolina,2.500,Rojo,4,,,
14f25076-993b-4f77-923d-09cfa8b6045f,https://www.carroya.com/detalle/usado/toyota/rav-4/2018/envigado/14f25076-993b-4f77-923d-09cfa8b6045f,Toyota Rav 4,2.0 4x2 Aut,$106.000.000,Envigado,60.600 km,2018,usado,Envigado,**7 Bogota,Automática,Gasolina,2.000,Gris,5,,,
b1e3ebff-7b15-48e8-b63d-649a9d4c2b42,https://www.carroya.com/detalle/usado/chevrolet/cruze/2012/bogota/b1e3ebff-7b15-48e8-b63d-649a9d4c2b42,Chevrolet Cruze,1.8 4 Puertas Automatico,$36.200.000,Bogota,75.500 km,2012,usado,Bogota,**7 Bogota,Automática,Gasolina,1.800,Azul,,,,
2279996,https://www.carroya.com/detalle/usado/hyundai/tucson/2023/bogota/2279996,Hyundai Tucson,2.0 Attraction 4x2 Automatica,$121.700.000,Bogota,16.376 km,2023,usado,Bogota,**3 Bogota,Automática,Gasolina,2.000,Blanco,,,Asistencia Hidráulica,
2279991,https://www.carroya.com/detalle/usado/hyundai/kona/2024/bogota/2279991,Hyundai Kona,Premium 1.6 Suv Automatico hybrid,$138.900.000,Bogota,7.402 km,2024,usado,Bogota,**1 Bogota,Automática,Híbrido,1.600,Gris,,,Asistencia Hidráulica,
2277949,https://www.carroya.com/detalle/usado/ford/bronco/2022/bogota/2277949,Ford Bronco,1.5 Big Bend 4x4,$119.500.000,Bogota,12.842 km,2022,usado,Bogota,**3 Bogota,Automática,Gasolina,1.500,Negro,,,Asistencia Hidráulica,
0e7b4fed-89dc-4207-9364-7880240a3d58,https://www.carroya.com/detalle/usado/chevrolet/tracker/2015/bogota/0e7b4fed-89dc-4207-9364-7880240a3d58,Chevrolet Tracker,1.8 AWD LT Automatica,$47.000.000,Bogota,,2015,usado,Bogota,**4 Bogota,Automática,Gasolina,0,Negro,,,,
a5828309-c222-4191-ab47-5643face4d05,https://www.carroya.com/detalle/usado/kia/picanto/2022/bogota/a5828309-c222-4191-ab47-5643face4d05,KIA Picanto,1.1 EX Mecanico Aire Aconcicionado,$51.000.000,Bogota,22.300 km,2022,usado,Bogota,**2 Bogota,Mecánica,Gasolina,1.248,Blanco,null,,,
89eb71e1-4305-483d-8449-712b3f3633b4,https://www.carroya.com/detalle/usado/chevrolet/tracker/2016/pereira/89eb71e1-4305-483d-8449-712b3f3633b4,,1.8 FWD LS Mecanica,$48.700.000,Pereira,98.000 km,2016,usado,Pereira,**9 Pereira,Mecánica,Gasolina,18,Blanco,5,,,
a654ce35-edda-4702-9c05-2dd64f6a9f65,https://www.carroya.com/detalle/usado/kia/rio/2019/bogota/a654ce35-edda-4702-9c05-2dd64f6a9f65,KIA Rio,Zenith 1.4 Hatchback Automatico,$67.000.000,Bogota,32.000 km,2019,usado,Bogota,**9 Bogota,Automática,Gasolina,1.400,Rojo,,,,
0a2871f7-5cdd-4547-bcf5-e44c6e6ded4b,https://www.carroya.com/detalle/usado/peugeot/307/2006/chia/0a2871f7-5cdd-4547-bcf5-e44c6e6ded4b,Peugeot 307,2.0 XT Feline 5 Puertas Automatico,$25.500.000,Chia,148.000 km,2006,usado,Chia,**7 Bogota,Automática,Gasolina,2.000,Gris,,,,
80603997-2789-4dee-addc-3b155538374f,https://www.carroya.com/detalle/usado/mazda/3/2017/cali/80603997-2789-4dee-addc-3b155538374f,Mazda 3,2.0 Sedan Automatico,$64.000.000,Cali,71.000 km,2017,usado,Cali,**1 Cali,Automática,Gasolina,2.000,Plateado,,,,
2276936,https://www.carroya.com/detalle/usado/ford/fiesta/2017/bogota/2276936,,Sedan SE,$43.300.000,Bogota,79.996 km,2017,usado,Bogota,**4 Bogota,Automática,Gasolina,1.600,Gris,,,Asistencia Hidráulica,
2279711,https://www.carroya.com/detalle/usado/nissan/versa/2021/bogota/2279711,Nissan Versa,Exclusive Aut,$78.600.000,Bogota,28.916 km,2021,usado,Bogota,**9 Bogota,Automática,Gasolina,1.600,Gris,,,Asistencia Hidráulica,
2277661,https://www.carroya.com/detalle/usado/nissan/versa/2020/bogota/2277661,Nissan Versa,Sense,$52.700.000,Bogota,29.764 km,2020,usado,Bogota,**6 Bogota,Mecánica,Gasolina,1.600,Plateado,,,Asistencia Hidráulica,
2274402,https://www.carroya.com/detalle/usado/jaguar/xe/2017/bogota/2274402,Jaguar XE,R-Sport 2.0 T,$105.900.000,Bogota,14.301 km,2017,usado,Bogota,**4 Bogota,Automática,Gasolina,2.000,Blanco,,,Asistencia Hidráulica,
2278626,https://www.carroya.com/detalle/usado/chevrolet/spark/2014/chia/2278626,Chevrolet Spark,1.2 GT LT Mecanico,$30.200.000,Chia,84.753 km,2014,usado,Chia,**3 Bogota,Mecánica,Gasolina,1.200,Negro,,,Mecánica,
