iter	Passed	Remaining
402	3605	5340
403	3612	5329
404	3620	5318
405	3627	5307
406	3637	5299
407	3644	5288
408	3653	5279
409	3660	5267
410	3670	5260
411	3677	5248
412	3686	5239
413	3692	5227
414	3700	5216
415	3707	5204
416	3716	5196
417	3723	5184
418	3732	5175
419	3739	5163
420	3747	5154
421	3755	5143
422	3764	5135
423	3771	5123
424	3780	5115
425	3788	5104
426	3796	5094
427	3803	5083
428	3812	5075
429	3819	5063
430	3830	5057
431	3837	5046
432	3849	5040
433	3857	5031
434	3865	5020
435	3874	5012
436	3881	5000
437	3889	4990
438	3896	4979
439	3904	4969
440	3911	4958
441	3919	4948
442	3925	4936
443	3932	4924
444	3943	4917
445	3952	4909
446	3960	4899
447	3970	4892
448	3978	4881
449	3988	4874
450	3994	4863
451	4004	4854
452	4012	4845
453	4019	4834
454	4027	4824
455	4034	4813
456	4040	4801
457	4049	4792
458	4055	4779
459	4063	4770
460	4069	4758
461	4077	4748
462	4084	4737
463	4094	4729
464	4100	4717
465	4108	4708
466	4115	4696
467	4124	4688
468	4130	4676
469	4140	4669
470	4147	4658
471	4155	4648
472	4162	4637
473	4171	4629
474	4178	4618
475	4187	4609
476	4193	4598
477	4202	4589
478	4210	4579
479	4221	4573
480	4235	4570
481	4243	4560
482	4255	4555
483	4264	4546
484	4273	4537
485	4283	4530
486	4291	4520
487	4299	4511
488	4306	4500
489	4315	4491
490	4322	4480
491	4331	4472
492	4340	4463
493	4350	4455
494	4362	4450
495	4372	4442
496	4384	4437
497	4392	4427
498	4399	4416
499	4409	4409
500	4419	4401
501	4428	4393
502	4439	4386
503	4447	4376
504	4458	4370
505	4467	4361
506	4477	4354
507	4489	4348
508	4500	4340
509	4512	4335
510	4522	4327
511	4532	4320
512	4543	4313
513	4555	4307
514	4566	4300
515	4576	4292
516	4589	4287
517	4602	4283
518	4612	4274
519	4619	4264
520	4628	4254
521	4634	4244
522	4643	4235
523	4650	4224
524	4658	4215
525	4666	4205
526	4676	4196
527	4683	4186
528	4694	4180
529	4704	4171
530	4712	4161
531	4720	4152
532	4727	4142
533	4737	4134
534	4744	4123
535	4754	4115
536	4761	4105
537	4770	4096
538	4778	4086
539	4790	4080
540	4813	4084
541	4824	4076
542	4837	4071
543	4847	4062
544	4857	4055
545	4871	4050
546	4881	4043
547	4898	4040
548	4910	4034
549	4919	4024
550	4930	4017
551	4939	4008
552	4948	4000
553	4960	3993
554	4974	3988
555	4981	3978
556	4993	3971
557	4999	3960
558	5007	3950
559	5014	3939
560	5022	3930
561	5029	3919
562	5038	3910
563	5046	3900
564	5054	3891
565	5062	3881
566	5072	3873
567	5078	3862
568	5086	3852
569	5092	3841
570	5102	3833
571	5109	3822
572	5118	3814
573	5124	3803
574	5132	3793
575	5138	3782
576	5146	3772
577	5153	3762
578	5161	3752
579	5171	3744
580	5179	3735
581	5187	3725
582	5197	3717
583	5203	3706
584	5212	3697
585	5219	3687
586	5228	3678
587	5234	3667
588	5242	3658
589	5248	3647
590	5256	3637
591	5262	3627
592	5269	3616
593	5277	3606
594	5283	3596
595	5291	3587
596	5298	3576
597	5306	3567
598	5313	3557
599	5322	3548
600	5329	3537
601	5338	3529
602	5345	3519
603	5354	3510
604	5365	3502
605	5372	3492
606	5383	3485
607	5391	3476
608	5403	3469
609	5411	3459
610	5418	3449
611	5426	3440
612	5433	3430
613	5441	3420
614	5447	3409
615	5453	3399
616	5461	3390
617	5467	3379
618	5476	3370
619	5482	3360
620	5492	3351
621	5498	3341
622	5507	3333
623	5514	3322
624	5523	3314
625	5532	3305
626	5540	3295
627	5548	3286
628	5555	3276
629	5562	3266
630	5570	3257
631	5577	3247
632	5587	3239
633	5596	3230
634	5602	3220
635	5609	3210
636	5616	3200
637	5622	3189
638	5632	3181
639	5638	3171
640	5646	3162
641	5652	3152
642	5660	3142
643	5666	3132
644	5675	3123
645	5682	3113
646	5689	3104
647	5695	3093
648	5700	3083
649	5708	3073
650	5714	3063
651	5723	3054
652	5730	3045
653	5738	3036
654	5745	3026
655	5753	3016
656	5759	3006
657	5768	2998
658	5775	2988
659	5784	2979
660	5792	2970
661	5801	2962
662	5808	2952
663	5816	2943
664	5822	2933
665	5830	2924
666	5837	2914
667	5845	2905
668	5852	2895
669	5858	2885
670	5865	2876
671	5871	2866
672	5880	2857
673	5886	2847
674	5893	2837
675	5899	2827
676	5906	2817
677	5915	2809
678	5922	2800
679	5929	2790
680	5936	2780
681	5943	2771
682	5949	2761
683	5957	2752
684	5964	2742
685	5972	2733
686	5978	2723
687	5987	2715
688	5994	2705
689	6004	2697
690	6010	2687
691	6019	2679
692	6026	2669
693	6034	2660
694	6040	2650
695	6048	2641
696	6054	2632
697	6060	2622
698	6068	2613
699	6075	2603
700	6083	2594
701	6089	2584
702	6098	2576
703	6105	2566
704	6113	2557
705	6119	2548
706	6127	2539
707	6133	2529
708	6142	2520
709	6148	2511
710	6156	2502
711	6162	2492
712	6169	2483
713	6177	2474
714	6183	2464
715	6194	2456
716	6205	2449
717	6211	2439
718	6218	2430
719	6226	2421
720	6233	2412
721	6240	2402
722	6247	2393
723	6254	2384
724	6260	2374
725	6268	2365
726	6274	2356
727	6282	2347
728	6288	2337
729	6295	2328
730	6302	2319
731	6308	2309
732	6316	2300
733	6323	2291
734	6333	2283
735	6340	2274
736	6349	2266
737	6357	2257
738	6365	2248
739	6371	2238
740	6381	2230
741	6391	2222
742	6398	2213
743	6407	2204
744	6413	2195
745	6422	2186
746	6429	2177
747	6438	2169
748	6444	2159
749	6452	2150
750	6459	2141
751	6466	2132
752	6475	2124
753	6482	2114
754	6489	2105
755	6497	2096
756	6503	2087
757	6509	2078
758	6518	2069
759	6524	2060
760	6532	2051
761	6540	2042
762	6550	2034
763	6556	2025
764	6568	2017
765	6578	2009
766	6584	2000
767	6591	1991
768	6598	1982
769	6604	1972
770	6613	1964
771	6619	1954
772	6627	1946
773	6634	1937
774	6642	1928
775	6648	1919
776	6656	1910
777	6662	1900
778	6667	1891
779	6675	1882
780	6680	1873
781	6688	1864
782	6694	1855
783	6701	1846
784	6707	1837
785	6715	1828
786	6723	1819
787	6731	1810
788	6738	1801
789	6745	1793
790	6753	1784
791	6762	1775
792	6768	1766
793	6777	1758
794	6784	1749
795	6790	1740
796	6798	1731
797	6805	1722
798	6813	1714
799	6821	1705
800	6829	1696
801	6837	1688
802	6844	1679
803	6852	1670
804	6859	1661
805	6869	1653
806	6875	1644
807	6881	1635
808	6889	1626
809	6896	1617
810	6903	1608
811	6909	1599
812	6917	1591
813	6923	1581
814	6932	1573
815	6939	1564
816	6949	1556
817	6955	1547
818	6963	1538
819	6969	1529
820	6978	1521
821	6985	1512
822	6993	1504
823	7000	1495
824	7011	1487
825	7018	1478
826	7029	1470
827	7036	1461
828	7047	1453
829	7055	1445
830	7063	1436
831	7071	1427
832	7078	1419
833	7088	1410
834	7095	1402
835	7105	1393
836	7112	1385
837	7123	1377
838	7130	1368
839	7141	1360
840	7149	1351
841	7159	1343
842	7168	1334
843	7174	1326
844	7183	1317
845	7189	1308
846	7198	1300
847	7206	1291
848	7216	1283
849	7224	1274
850	7236	1266
851	7247	1258
852	7255	1250
853	7265	1242
854	7278	1234
855	7288	1226
856	7303	1218
857	7317	1211
858	7333	1203
859	7348	1196
860	7366	1189
861	7378	1181
862	7386	1172
863	7397	1164
864	7407	1156
865	7416	1147
866	7428	1139
867	7436	1130
868	7444	1122
869	7454	1113
870	7463	1105
871	7474	1097
872	7485	1088
873	7492	1080
874	7502	1071
875	7511	1063
876	7523	1055
877	7535	1047
878	7546	1038
879	7555	1030
880	7564	1021
881	7571	1012
882	7578	1004
883	7584	995
884	7593	986
885	7601	978
886	7609	969
887	7616	960
888	7624	951
889	7631	943
890	7640	934
891	7646	925
892	7655	917
893	7661	908
894	7668	899
895	7675	890
896	7682	882
897	7690	873
898	7696	864
899	7705	856
900	7711	847
901	7719	838
902	7726	829
903	7735	821
904	7742	812
905	7751	804
906	7759	795
907	7769	787
908	7776	778
909	7784	769
910	7791	761
911	7799	752
912	7806	743
913	7814	735
914	7820	726
915	7829	718
916	7837	709
917	7846	700
918	7852	692
919	7861	683
920	7867	674
921	7876	666
922	7883	657
923	7891	649
924	7898	640
925	7906	631
926	7914	623
927	7923	614
928	7929	606
929	7937	597
930	7944	588
931	7951	580
932	7957	571
933	7965	562
934	7976	554
935	7985	546
936	7992	537
937	8000	528
938	8006	520
939	8015	511
940	8021	502
941	8030	494
942	8037	485
943	8045	477
944	8052	468
945	8059	460
946	8068	451
947	8074	442
948	8082	434
949	8088	425
950	8096	417
951	8102	408
952	8111	400
953	8117	391
954	8126	382
955	8133	374
956	8142	365
957	8148	357
958	8158	348
959	8166	340
960	8175	331
961	8181	323
962	8190	314
963	8197	306
964	8205	297
965	8212	289
966	8220	280
967	8226	271
968	8233	263
969	8241	254
970	8250	246
971	8257	237
972	8267	229
973	8274	220
974	8283	212
975	8291	203
976	8301	195
977	8308	186
978	8316	178
979	8322	169
980	8332	161
981	8340	152
982	8350	144
983	8361	135
984	8370	127
985	8378	118
986	8384	110
987	8393	101
988	8400	93
989	8408	84
990	8415	76
991	8423	67
992	8429	59
993	8435	50
994	8443	42
995	8450	33
996	8459	25
997	8465	16
998	8472	8
999	8478	0
