iter	RMSE
274	10573798.99
275	10569647.81
276	10564415.16
277	10560605.39
278	10554631.8
279	10548788.59
280	10543569.26
281	10538165.64
282	10530292.81
283	10525656.05
284	10518587.18
285	10513614.04
286	10504598.34
287	10498915.22
288	10493640.43
289	10486394.52
290	10481651.04
291	10476641.06
292	10472074.06
293	10463872.21
294	10454010.86
295	10442471.28
296	10438170.63
297	10430943.08
298	10425868.75
299	10420573.96
300	10413858.24
301	10408967.82
302	10406102.12
303	10401569.7
304	10396798.4
305	10387382.98
306	10383031.02
307	10375412.54
308	10371354.61
309	10367095.53
310	10361549.03
311	10356764.23
312	10351785.64
313	10345955.4
314	10341927.95
315	10337753.16
316	10335071.45
317	10332866.5
318	10325413.78
319	10321106.84
320	10312424.04
321	10307177.17
322	10302453.22
323	10296166.73
324	10291901.53
325	10287549.9
326	10283338.45
327	10277481.64
328	10272147.53
329	10269754.86
330	10266008.39
331	10262219.47
332	10257251.54
333	10251895.23
334	10247815.7
335	10243679.18
336	10236343.66
337	10228968.56
338	10219732.46
339	10214465.08
340	10202619.74
341	10199081.56
342	10190379.74
343	10186941.38
344	10183481.89
345	10180302.46
346	10176848.01
347	10173053.47
348	10168763.15
349	10166653.08
350	10160487.07
351	10154812.62
352	10151060.09
353	10145815.25
354	10143352.71
355	10135730.72
356	10131998.03
357	10125825.75
358	10121151.35
359	10114582.19
360	10112761.1
361	10109216.91
362	10105724.7
363	10101163.16
364	10098790.69
365	10096096.48
366	10085996.06
367	10082231.29
368	10075955.79
369	10073812.08
370	10069006.23
371	10065434.18
372	10061085.85
373	10058713.3
374	10053998.13
375	10049598.53
376	10046290.77
377	10044646.32
378	10041070.8
379	10036750.32
380	10033297.96
381	10028532.62
382	10026569.57
383	10021545.71
384	10014022.08
385	10010920.67
386	10002153.7
387	9998823.206
388	9995918.228
389	9989474.783
390	9986429.079
391	9980683.818
392	9972257.468
393	9963805.474
394	9958606.319
395	9956713.646
396	9953644.197
397	9947200.577
398	9943062.37
399	9938172.596
400	9936251.978
401	9933035.658
402	9925791.874
403	9921641.751
404	9919443.141
405	9916538.964
406	9912675.741
407	9908936.289
408	9907537.749
409	9901543.05
410	9898592.394
411	9895510.768
412	9891580.07
413	9887967.723
414	9885384.898
415	9879891.889
416	9877952.336
417	9874764.26
418	9870619.856
419	9867086.254
420	9862973.597
421	9860565.117
422	9855515.61
423	9852257.233
424	9848060.627
425	9844263.889
426	9841171.352
427	9836905.078
428	9830542.37
429	9826785.015
430	9823888.955
431	9820389.672
432	9817031.167
433	9815285.272
434	9809901.739
435	9805622.73
436	9802403.897
437	9799094.261
438	9796448.777
439	9793553.441
440	9788772.878
441	9785454.965
442	9780678.922
443	9779348.232
444	9772730.03
445	9768559.184
446	9765768.653
447	9762809.752
448	9759888.431
449	9757289.395
450	9752129.751
451	9749993.927
452	9748167.737
453	9745057.379
454	9742368.503
455	9739833.374
456	9737098.207
457	9733370.598
458	9728596.136
459	9726743.837
460	9723987.437
461	9719285.957
462	9716226.365
463	9713714.881
464	9711073.64
465	9708000.347
466	9703882.551
467	9699550.736
468	9697472.475
469	9695066.404
470	9692863.971
471	9691205.525
472	9688217.984
473	9684930.688
474	9679873.277
475	9672585.69
476	9668979.348
477	9666919.297
478	9665306.111
479	9663314.742
480	9658978.001
481	9656505.98
482	9655284.373
483	9653328.886
484	9650837.569
485	9647172.669
486	9644744.716
487	9643190.133
488	9641026.157
489	9638262.447
490	9634204.722
491	9631513.655
492	9627015.242
493	9625498.715
494	9622922.556
495	9620648.617
496	9617477.562
497	9614872.932
498	9612045.343
499	9608421.002
500	9600081.561
501	9598027.641
502	9595455.325
503	9590780.573
504	9587993.875
505	9583497.143
506	9580641.748
507	9577617.075
508	9574444.263
509	9572084.889
510	9568078.433
511	9565148.969
512	9562421.467
513	9560906.586
514	9557435.416
515	9553682.46
516	9550186.804
517	9548208.402
518	9544454.314
519	9543457.687
520	9540589.407
521	9539575.622
522	9538358.387
523	9533984.479
524	9532490.604
525	9529895.135
526	9527972.384
527	9525391.414
528	9521958.339
529	9520227.871
530	9517978.066
531	9515268.833
532	9514068.595
533	9510311.527
534	9506986.456
535	9503949.536
536	9502332.719
537	9499883.026
538	9497699.32
539	9495813.055
540	9493038.726
541	9490762.711
542	9487596.999
543	9485411.268
544	9482260.374
545	9479030.877
546	9476658.707
547	9472779.391
548	9470953.033
549	9469221.871
550	9466836.637
551	9461911.598
552	9460237.221
553	9457871.813
554	9455868.515
555	9454996.17
556	9452152.025
557	9449856.729
558	9448670.777
559	9447245.519
560	9443618.884
561	9437892.163
562	9436413.941
563	9433618.514
564	9430927.295
565	9427830.326
566	9425864.58
567	9423870.808
568	9421401.087
569	9419629.792
570	9418415.737
571	9415087.947
572	9413549.579
573	9412420.932
574	9410794.535
575	9407132.976
576	9403839.087
577	9401949.164
578	9399853.712
579	9397865.939
580	9396205.129
581	9394507.734
582	9392489.209
583	9390630.244
584	9384979.147
585	9383266.911
586	9381556.006
587	9380167.489
588	9377578.29
589	9376823.884
590	9375657.068
591	9372774.763
592	9369140.006
593	9368092.428
594	9365545.712
595	9363651.811
596	9361665.745
597	9359619.53
598	9355311.451
599	9352221.598
600	9347759.109
601	9345723.399
602	9344705.369
603	9341768.028
604	9339560.916
605	9338106.771
606	9334935.089
607	9332858.093
608	9330920.254
609	9329058.29
610	9327555.829
611	9325473.196
612	9323619.141
613	9321328.447
614	9319763.753
615	9316783.959
616	9314742.593
617	9312998.597
618	9312276.809
619	9309649.757
620	9307027.977
621	9304930.172
622	9303127.425
623	9300482.669
624	9298465.493
625	9296199.45
626	9295201.487
627	9293749.349
628	9291697.957
629	9289444.703
630	9287274.049
631	9284623.794
632	9282318.444
633	9281219.462
634	9278506.929
635	9277812.251
636	9276902.598
637	9275916.426
638	9273085.678
639	9272286.097
640	9269258.268
641	9267090.038
642	9264967.503
643	9263436.131
644	9261171.019
645	9258500.532
646	9256632.068
647	9255762.644
648	9253773.018
649	9251096.398
650	9249693.874
651	9247696.512
652	9246624.876
653	9245487.214
654	9244143.058
655	9242664.869
656	9240762.428
657	9239608.373
658	9237631.899
659	9235562.015
660	9233224.795
661	9232265.461
662	9231341.104
663	9229232.523
664	9224868.057
665	9224185.207
666	9223165.567
667	9221216.019
668	9219314.563
669	9216247.476
670	9215550.547
671	9214432.742
672	9213019.293
673	9210950.654
674	9209872.124
675	9208942.518
676	9207239.663
677	9205720.143
678	9204314.931
679	9201607.371
680	9200025.921
681	9198436.415
682	9197018.758
683	9195514.284
684	9193866.079
685	9192862.915
686	9190066.523
687	9189090.485
688	9187631.824
689	9185434.929
690	9183461.238
691	9181573.063
692	9179572.723
693	9178378.102
694	9176841.47
695	9175970.707
696	9175139.264
697	9174482.594
698	9172699.013
699	9170245.124
700	9169081.868
701	9167422.932
702	9165807.86
703	9164063.963
704	9163469.104
705	9159260.644
706	9158076.155
707	9156579.345
708	9153974.302
709	9151573.985
710	9149796.276
711	9149018.724
712	9147717.47
713	9145613.177
714	9143767.342
715	9141578.088
716	9139824.048
717	9136908.886
718	9134804.392
719	9133211.409
720	9131262.215
721	9129813.557
722	9128616.63
723	9128119.805
724	9127120.397
725	9126147.37
726	9125450.398
727	9123719.504
728	9122468.608
729	9122102.243
730	9120489.271
731	9118870.287
732	9113754.791
733	9112068.887
734	9109872.745
735	9108043.498
736	9107716.054
737	9106829.284
738	9103902.165
739	9101958.397
740	9101064.867
741	9098853.507
742	9097061.805
743	9092505.942
744	9091827.234
745	9090735.135
746	9087963.034
747	9086315.688
748	9084667.268
749	9082766.146
750	9081355.659
751	9079545.146
752	9077287.347
753	9076624.708
754	9075152.022
755	9074464.433
756	9072161.275
757	9070101.834
758	9068082.597
759	9067033.15
760	9065548.046
761	9063668.555
762	9062498.557
763	9060253.359
764	9058507.089
765	9056875.882
766	9055580.286
767	9054138.301
768	9052455.157
769	9049903.361
770	9048644.433
771	9047806.951
772	9046147.945
773	9044768.753
774	9043247.211
775	9042289.635
776	9040512.924
777	9038943.137
778	9036854.444
779	9034903.146
780	9034269.351
781	9033542.273
782	9031964.95
783	9031572.135
784	9031215.191
785	9030404
786	9028606.594
787	9027534.943
788	9026614.526
789	9025644.879
790	9025530.936
791	9024107.531
792	9022169.484
793	9021530.741
794	9020174.768
795	9018928.279
796	9017736.277
797	9016083.053
798	9013736.622
799	9010522.297
800	9009287.268
801	9008176.537
802	9006537.272
803	9004491.787
804	9002864.777
805	9001196.364
806	8999258.68
807	8998617.775
808	8996637.229
809	8994561.769
810	8993503.071
811	8992761.502
812	8990723.764
813	8990076.908
814	8988908.285
815	8984937.906
816	8983193.618
817	8982230.657
818	8981279.107
819	8979726.728
820	8977896.187
821	8974780.918
822	8973918.083
823	8973602.776
824	8971048.836
825	8969672.296
826	8968538.902
827	8967303.49
828	8967068.505
829	8966170.94
830	8964200.23
831	8962303.31
832	8960410.177
833	8959620.679
834	8956397.233
835	8953786.554
836	8953007.45
837	8950466.178
838	8949903.191
839	8949019.978
840	8946730.153
841	8941692.043
842	8939448.028
843	8936925.619
844	8936183.202
845	8935359.785
846	8934390.172
847	8933089.525
848	8931079.953
849	8930743.038
850	8928344.164
851	8926639.301
852	8925185.469
853	8924219.732
854	8922710.124
855	8921192.954
856	8920348.989
857	8917898.267
858	8916100.019
859	8914990.994
860	8912278.991
861	8910069.921
862	8908902.258
863	8908181.709
864	8905870.536
865	8904022.768
866	8902342.334
867	8900052.681
868	8896832.294
869	8894297.38
870	8892200.342
871	8890665.222
872	8888438.75
873	8886589.938
874	8885510.946
875	8883512.345
876	8882710.939
877	8880320.216
878	8878882.467
879	8877150.402
880	8875093.2
881	8872160.643
882	8871480.43
883	8869711.198
884	8868748.483
885	8867430.944
886	8866238.011
887	8865565.636
888	8864606.781
889	8862214.737
890	8857510.704
891	8856135.104
892	8854505.462
893	8853850.699
894	8851889.183
895	8850719.866
896	8849183.568
897	8848840.031
898	8847470.78
899	8846331.274
900	8844325.29
901	8842854.428
902	8841010.357
903	8839357.091
904	8838515.738
905	8837141.151
906	8836433.142
907	8835017.617
908	8833659.922
909	8832599.231
910	8831400.599
911	8829455.893
912	8827280.162
913	8826155.082
914	8824338.618
915	8823050.312
916	8822057.061
917	8820353.705
918	8818653.318
919	8817999.435
920	8817160.87
921	8816186.779
922	8814274.302
923	8812791.776
924	8812355.791
925	8811692.399
926	8810224.393
927	8808446.02
928	8806687.583
929	8805763.598
930	8805515.808
931	8804748.177
932	8803355.864
933	8801951.415
934	8799883.252
935	8799078.123
936	8798505.847
937	8795211.628
938	8794608.21
939	8792920.741
940	8791571.301
941	8791227.542
942	8789795.032
943	8789254.291
944	8788621.364
945	8787222.869
946	8785404.037
947	8783882.41
948	8783254.087
949	8782652.989
950	8780901.988
951	8779775.28
952	8778322.949
953	8777603.378
954	8776292.36
955	8775109.147
956	8773747.033
957	8771731.507
958	8769996.13
959	8769546.022
960	8766874.598
961	8765013.268
962	8763840.909
963	8762530.079
964	8760967.499
965	8759685.617
966	8758620.347
967	8757905.21
968	8756185.43
969	8755728.944
970	8755023.286
971	8754618.57
972	8754119.457
973	8753439.462
974	8752525.29
975	8751151.534
976	8749366.279
977	8748770.169
978	8747468.169
979	8746492.413
980	8745551.52
981	8744521.833
982	8743187.669
983	8741292.549
984	8739873.319
985	8738522.834
986	8733747.703
987	8733277.04
988	8732221.181
989	8731575.588
990	8729881.153
991	8729331.728
992	8728111.846
993	8727474.244
994	8726350.116
995	8725251.1
996	8723694.65
997	8722633.226
998	8720743.38
999	8719758.346
